Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1987-88,22,IND,NBA,SG,82,1,1840,8.1,16.7,.488,1.6,4.6,.355,6.5,12.1,.538,4.0,5.0,.801,2.5,2.5,5.1,3.5,1.4,0.5,2.7,4.2,21.9,,114,111
1988-89,23,IND,NBA,SG,74,70,2536,7.6,15.9,.479,1.9,4.7,.402,5.7,11.2,.511,5.5,6.5,.844,1.4,4.2,5.6,4.3,1.8,0.6,2.7,3.2,22.5,,118,112
1989-90,24,IND,NBA,SG,82,82,3192,10.2,19.9,.514,2.3,5.6,.414,7.9,14.3,.552,8.4,9.7,.868,1.5,3.1,4.6,4.8,1.7,0.3,3.4,2.7,31.2,,124,113
1990-91,25,IND,NBA,SG,82,82,2972,9.7,18.9,.512,1.8,5.2,.348,7.9,13.7,.575,9.0,9.8,.918,1.3,3.3,4.6,5.4,1.8,0.2,2.6,2.7,30.2,,130,114
1991-92,26,IND,NBA,SG,82,82,3120,8.7,17.4,.501,2.0,5.3,.378,6.7,12.1,.555,6.9,8.0,.858,1.3,3.7,4.9,4.9,1.6,0.4,2.4,3.3,26.3,,125,112
1992-93,27,IND,NBA,SG,82,82,2954,9.7,20.2,.479,2.8,7.1,.399,6.8,13.1,.522,7.2,8.2,.880,1.1,3.2,4.4,4.4,2.0,0.4,2.5,3.1,29.4,,125,112
1993-94,28,IND,NBA,SG,79,79,2638,10.2,20.3,.503,2.4,5.7,.421,7.8,14.6,.535,7.9,8.7,.908,0.6,3.6,4.1,4.8,2.3,0.5,3.4,3.8,30.7,,123,106
1994-95,29,IND,NBA,SG,81,81,2665,10.1,21.8,.462,3.9,9.4,.415,6.2,12.4,.498,7.7,8.5,.897,0.6,3.6,4.2,4.8,2.0,0.3,3.0,3.1,31.8,,123,108
1995-96,30,IND,NBA,SG,76,76,2621,10.3,21.9,.473,3.4,8.4,.410,6.9,13.5,.512,8.8,10.2,.863,0.8,3.6,4.4,5.2,1.6,0.3,3.9,3.6,32.9,,121,110
1996-97,31,IND,NBA,SG,81,81,2966,10.0,22.6,.444,4.2,9.7,.427,5.9,12.9,.456,7.6,8.6,.880,1.0,4.2,5.2,5.0,1.4,0.5,3.0,3.1,31.8,,121,108
1997-98,32,IND,NBA,SG,81,81,2795,10.1,21.1,.477,3.2,7.5,.429,6.9,13.7,.504,7.5,8.6,.868,0.9,3.6,4.5,3.3,1.5,0.2,2.5,2.9,30.8,,121,105
1998-99,33,IND,NBA,SG,50,50,1787,9.1,20.9,.438,3.3,8.6,.385,5.8,12.3,.475,7.0,7.7,.915,0.8,3.4,4.2,3.5,1.2,0.3,2.4,3.1,28.6,,119,108
1999-00,34,IND,NBA,SG,81,81,2987,8.0,18.0,.448,2.8,7.0,.408,5.2,11.0,.473,6.4,7.0,.919,0.9,3.3,4.1,3.2,1.5,0.4,2.2,2.2,25.4,,118,107
2000-01,35,IND,NBA,SG,81,81,3181,8.7,19.8,.440,2.9,7.8,.366,5.9,12.0,.487,5.5,5.9,.928,0.6,4.2,4.8,4.4,1.4,0.3,2.2,2.7,25.8,,115,106
2001-02,36,IND,NBA,SG,79,79,2889,7.5,16.5,.453,3.3,8.0,.406,4.2,8.5,.498,5.3,5.9,.911,0.4,3.5,4.0,4.6,1.6,0.2,2.2,2.6,23.6,,121,108
2002-03,37,IND,NBA,SG,70,70,2117,7.0,15.8,.441,2.8,7.9,.355,4.2,7.9,.527,5.1,5.7,.900,0.5,3.7,4.3,4.2,1.5,0.1,1.6,2.2,21.8,,122,105
2003-04,38,IND,NBA,SG,80,80,2254,6.3,14.5,.438,3.3,8.1,.401,3.1,6.3,.485,3.6,4.0,.885,0.4,4.1,4.6,6.1,1.6,0.3,1.7,2.3,19.5,,123,101
2004-05,39,IND,NBA,SG,66,66,2105,8.2,18.8,.437,2.5,7.8,.322,5.7,11.0,.518,6.5,7.0,.933,0.5,3.6,4.1,3.8,1.3,0.1,2.0,2.9,25.5,,118,109
Career,,,NBA,,1389,1304,47619,9.0,19.0,.471,2.8,7.1,.395,6.2,12.0,.516,6.8,7.6,.888,1.0,3.6,4.5,4.5,1.6,0.3,2.6,3.0,27.5,,121,109
