"pre","post"
50,75
80,100
10,60
80,90
80,60
50,60
50,50
10,80
90,80
10,40
90,100
40,50
50,50
40,50
100,100
50,60
20,80
70,60
80,80
80,80
80,100
0,0
70,50
20,30
80,80
90,100
80,100
80,90
50,50
65,75
70,90
60,80
50,80
90,100
70,90
90,70
10,10
90,90
80,100
80,80
80,90
50,80
10,0
50,50
60,70
90,90
90,50
50,100
50,30
70,80
90,90
70,40
90,100
70,90
60,80
80,10
80,90
20,80
80,60
70,80
90,60
90,90
90,90
20,20
50,100
40,60
80,80
50,50
35,10
50,70
90,80
60,50
90,60
70,40
90,90
90,90
70,80
90,100
40,30
90,70
100,100
50,50
30,80
90,90
30,60
80,70
90,90
10,0
90,90
90,80
